application_number,sponsor_name,brand_name,product_number,reference_drug,active_ingredients,referenced_standard,dosage_form,route,marketing_status
NDA017381,KING PHARMS LLC,SILVADENE,001,Yes,,Yes,CREAM,TOPICAL,Prescription
ANDA076200,OHM LABS,ACETAMINOPHEN,001,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Over-the-counter
ANDA076206,ROCKWELL MEDCL,CALCITRIOL,001,No,,No,INJECTABLE,INJECTION,Discontinued
NDA017385,BAXTER HLTHCARE,PLASMA-LYTE 56 AND DEXTROSE 5% IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076215,FOUGERA PHARMS,BETAMETHASONE DIPROPIONATE,001,No,,No,"CREAM, AUGMENTED",TOPICAL,Prescription
ANDA076222,HIKMA,GANCICLOVIR SODIUM,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076229,TARO PHARM INDS,AMCINONIDE,001,No,,No,CREAM,TOPICAL,Prescription
ANDA076233,HOSPIRA,PACLITAXEL,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076244,IVAX SUB TEVA PHARMS,MIRTAZAPINE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076244,IVAX SUB TEVA PHARMS,MIRTAZAPINE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076244,IVAX SUB TEVA PHARMS,MIRTAZAPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076246,HIKMA,FLUCONAZOLE,001,No,,No,FOR SUSPENSION,ORAL,Discontinued
ANDA076246,HIKMA,FLUCONAZOLE,002,No,,No,FOR SUSPENSION,ORAL,Discontinued
ANDA076286,DR REDDYS LABS INC,TIZANIDINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076286,DR REDDYS LABS INC,TIZANIDINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076304,HOSPIRA,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076304,HOSPIRA,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,002,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076308,ACTAVIS ELIZABETH,MIRTAZAPINE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076308,ACTAVIS ELIZABETH,MIRTAZAPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076308,ACTAVIS ELIZABETH,MIRTAZAPINE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,005,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Discontinued
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,003,No,,No,TABLET,ORAL,Prescription
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,001,No,,No,TABLET,ORAL,Prescription
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,004,No,,No,TABLET,ORAL,Prescription
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,002,No,,No,TABLET,ORAL,Prescription
ANDA076315,BARR,TOPIRAMATE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076315,BARR,TOPIRAMATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076315,BARR,TOPIRAMATE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076334,PH HEALTH,PREVIFEM,001,No,,No,TABLET,ORAL-28,Discontinued
ANDA076340,IVAX SUB TEVA PHARMS,FINASTERIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076347,EPIC PHARMA LLC,TIZANIDINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076347,EPIC PHARMA LLC,TIZANIDINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
NDA017412,HUNTINGTON LABS,GERMA-MEDICA,001,No,,No,SOLUTION,TOPICAL,Discontinued
NDA017412,HUNTINGTON LABS,"GERMA-MEDICA ""MG""",002,No,,No,SOLUTION,TOPICAL,Discontinued
ANDA076357,PERRIGO,MICONAZOLE 3 COMBINATION PACK,001,No,,No,CREAM,"TOPICAL, VAGINAL",Over-the-counter
ANDA076361,TEVA,LEVOFLOXACIN,002,No,,No,TABLET,ORAL,Prescription
ANDA076361,TEVA,LEVOFLOXACIN,003,No,,No,TABLET,ORAL,Prescription
ANDA076361,TEVA,LEVOFLOXACIN,001,No,,No,TABLET,ORAL,Prescription
ANDA076363,SUN PHARM INDS INC,DIGOXIN,001,No,,No,TABLET,ORAL,Prescription
ANDA076363,SUN PHARM INDS INC,DIGOXIN,002,No,,No,TABLET,ORAL,Prescription
ANDA076367,TARO PHARM INDS,AMCINONIDE,001,No,,No,OINTMENT,TOPICAL,Discontinued
ANDA076383,APOTEX INC,NIZATIDINE,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA076383,APOTEX INC,NIZATIDINE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA076420,TEVA,LAMOTRIGINE,002,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076420,TEVA,LAMOTRIGINE,001,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076422,FOUGERA PHARMS,CICLOPIROX,001,No,,No,SUSPENSION,TOPICAL,Prescription
ANDA076435,FOUGERA PHARMS,CICLOPIROX,001,No,,No,CREAM,TOPICAL,Prescription
ANDA076440,ANI PHARMS,RISPERIDONE,001,No,,No,SOLUTION,ORAL,Prescription
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,003,No,,No,TABLET,ORAL,Discontinued
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,001,No,,No,TABLET,ORAL,Discontinued
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,004,No,,No,TABLET,ORAL,Discontinued
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,002,No,,No,TABLET,ORAL,Discontinued
ANDA076446,IMPAX PHARMS,OXYCODONE HYDROCHLORIDE,002,No,,,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ANDA076446,IMPAX PHARMS,OXYCODONE HYDROCHLORIDE,003,No,,,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ANDA076446,IMPAX PHARMS,OXYCODONE HYDROCHLORIDE,001,No,,,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ANDA076460,AVEMA PHARMA,IBUPROFEN,001,No,,No,TABLET,ORAL,Over-the-counter
ANDA076478,PERRIGO,IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE,001,No,,No,SUSPENSION,ORAL,Discontinued
ANDA076486,MPP PHARMA,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076486,MPP PHARMA,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076500,HIKMA,ADENOSINE,001,No,,No,INJECTABLE,INJECTION,Prescription
NDA017438,BAXTER HLTHCARE,PLASMA-LYTE R IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076545,IVAX SUB TEVA PHARMS,METFORMIN HYDROCHLORIDE,001,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ANDA076550,ANI PHARMS,PROPAFENONE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA076550,ANI PHARMS,PROPAFENONE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076550,ANI PHARMS,PROPAFENONE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076601,TARO,CETIRIZINE HYDROCHLORIDE,001,No,,No,SOLUTION,ORAL,Prescription
ANDA076603,CHARTWELL MOLECULAR,BETAMETHASONE DIPROPIONATE,001,No,,No,"CREAM, AUGMENTED",TOPICAL,Discontinued
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,002,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,003,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076615,EPIC PHARMA LLC,OFLOXACIN,001,No,,No,SOLUTION/DROPS,OPHTHALMIC,Discontinued
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Prescription
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076629,DR REDDYS LABS SA,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,001,No,,No,TABLET,ORAL-28,Discontinued
ANDA076643,RANBAXY,CARBILEV,003,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076643,RANBAXY,CARBILEV,001,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076643,RANBAXY,CARBILEV,002,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076644,PHARMOBEDIENT,OXYBUTYNIN CHLORIDE,001,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ANDA076644,PHARMOBEDIENT,OXYBUTYNIN CHLORIDE,002,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ANDA076679,SUN PHARMA CANADA,MOMETASONE FUROATE,001,No,,No,CREAM,TOPICAL,Prescription
NDA017463,MCNEIL CONSUMER,MOTRIN,004,Yes,,No,TABLET,ORAL,Discontinued
NDA017463,MCNEIL CONSUMER,MOTRIN,002,Yes,,No,TABLET,ORAL,Discontinued
NDA017463,MCNEIL CONSUMER,MOTRIN,005,Yes,,No,TABLET,ORAL,Discontinued
NDA017463,MCNEIL CONSUMER,MOTRIN,003,Yes,,No,TABLET,ORAL,Discontinued
ANDA076710,DR REDDYS LABS INC,LEVOFLOXACIN,002,No,,No,TABLET,ORAL,Prescription
ANDA076710,DR REDDYS LABS INC,LEVOFLOXACIN,003,No,,No,TABLET,ORAL,Prescription
ANDA076710,DR REDDYS LABS INC,LEVOFLOXACIN,001,No,,No,TABLET,ORAL,Prescription
ANDA076715,WATSON LABS INC,MODAFINIL,002,No,,No,TABLET,ORAL,Discontinued
ANDA076715,WATSON LABS INC,MODAFINIL,001,No,,No,TABLET,ORAL,Discontinued
ANDA076725,BEIJING YILING,ORVATEN,003,No,,No,TABLET,ORAL,Prescription
ANDA076725,BEIJING YILING,ORVATEN,001,No,,No,TABLET,ORAL,Prescription
ANDA076725,BEIJING YILING,ORVATEN,002,No,,Yes,TABLET,ORAL,Prescription
ANDA076729,TARO,TERIL,001,No,,No,SUSPENSION,ORAL,Prescription
ANDA076743,CORNERSTONE,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,001,No,,No,TABLET,ORAL,Discontinued
ANDA076785,BARR,KELNOR,001,No,,No,TABLET,ORAL-28,Prescription
ANDA076791,BAXTER HLTHCARE CORP,HALOPERIDOL,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076795,APOTEX INC,LITHIUM CARBONATE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA076803,CHARTWELL RX,QUINAPRIL HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Prescription
ANDA076803,CHARTWELL RX,QUINAPRIL HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076803,CHARTWELL RX,QUINAPRIL HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA076803,CHARTWELL RX,QUINAPRIL HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076812,BARR,ESTRADIOL AND NORGESTIMATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076827,HOSPIRA,VINORELBINE TARTRATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076840,TEVA,SUMATRIPTAN SUCCINATE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076840,TEVA,SUMATRIPTAN SUCCINATE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076840,TEVA,SUMATRIPTAN SUCCINATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076847,DR REDDYS LABS INC,SUMATRIPTAN SUCCINATE,002,No,,No,TABLET,ORAL,Prescription
ANDA076847,DR REDDYS LABS INC,SUMATRIPTAN SUCCINATE,003,No,,No,TABLET,ORAL,Prescription
ANDA076847,DR REDDYS LABS INC,SUMATRIPTAN SUCCINATE,001,No,,No,TABLET,ORAL,Prescription
ANDA076850,FOUGERA PHARMS,TERCONAZOLE,001,No,,No,SUPPOSITORY,VAGINAL,Discontinued
ANDA076859,CHARTWELL RX,AMLODIPINE BESYLATE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076859,CHARTWELL RX,AMLODIPINE BESYLATE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076859,CHARTWELL RX,AMLODIPINE BESYLATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076886,DR REDDYS,FOSPHENYTOIN SODIUM,001,No,,No,INJECTABLE,INJECTION,Discontinued
NDA017497,SANOFI AVENTIS US,CALCIMAR,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076913,PHARM ASSOC,PREDNISOLONE SODIUM PHOSPHATE,001,No,,Yes,SOLUTION,ORAL,Prescription
ANDA076915,WATSON LABS,DESOGESTREL AND ETHINYL ESTRADIOL,001,No,,No,TABLET,ORAL-28,Prescription
ANDA076922,STRIDES PHARMA INTL,FLUOXETINE HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA076922,STRIDES PHARMA INTL,FLUOXETINE HYDROCHLORIDE,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA076922,STRIDES PHARMA INTL,FLUOXETINE HYDROCHLORIDE,003,No,,No,CAPSULE,ORAL,Discontinued
ANDA076935,SANDOZ,MODAFINIL,001,No,,,TABLET,ORAL,None (Tentative Approval)
ANDA076935,SANDOZ,MODAFINIL,002,No,,,TABLET,ORAL,None (Tentative Approval)
ANDA076958,TEVA,LOSARTAN POTASSIUM,002,No,,No,TABLET,ORAL,Discontinued
ANDA076958,TEVA,LOSARTAN POTASSIUM,003,No,,No,TABLET,ORAL,Discontinued
ANDA076958,TEVA,LOSARTAN POTASSIUM,001,No,,No,TABLET,ORAL,Discontinued
NDA017510,B BRAUN,DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076960,HIKMA,ONDANSETRON HYDROCHLORIDE,001,No,,Yes,SOLUTION,ORAL,Prescription
ANDA076961,SANDOZ,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076961,SANDOZ,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076962,AUROBINDO PHARMA USA,BROMOCRIPTINE MESYLATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076963,INNOGENIX,PILOCARPINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076963,INNOGENIX,PILOCARPINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076984,WATSON LABS,ALENDRONATE SODIUM,002,No,,No,TABLET,ORAL,Prescription
ANDA076984,WATSON LABS,ALENDRONATE SODIUM,003,No,,No,TABLET,ORAL,Prescription
ANDA076984,WATSON LABS,ALENDRONATE SODIUM,001,No,,No,TABLET,ORAL,Prescription
ANDA076994,SUN PHARMA CANADA,HALOBETASOL PROPIONATE,001,No,,No,OINTMENT,TOPICAL,Discontinued
ANDA076999,TEVA,CLOPIDOGREL BISULFATE,001,No,,No,TABLET,ORAL,Prescription
ANDA077002,HIKMA INTL PHARMS,DIGOXIN,002,No,,No,TABLET,ORAL,Prescription
ANDA077002,HIKMA INTL PHARMS,DIGOXIN,001,No,,No,TABLET,ORAL,Prescription
ANDA077028,ACTAVIS ELIZABETH,CILOSTAZOL,002,No,,No,TABLET,ORAL,Discontinued
ANDA077028,ACTAVIS ELIZABETH,CILOSTAZOL,001,No,,,TABLET,ORAL,Prescription
ANDA077032,SUN PHARM INDS INC,CITALOPRAM HYDROBROMIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA077032,SUN PHARM INDS INC,CITALOPRAM HYDROBROMIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077032,SUN PHARM INDS INC,CITALOPRAM HYDROBROMIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA077038,DR REDDYS LABS LTD,CITALOPRAM HYDROBROMIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA077038,DR REDDYS LABS LTD,CITALOPRAM HYDROBROMIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA077038,DR REDDYS LABS LTD,CITALOPRAM HYDROBROMIDE,001,No,,No,TABLET,ORAL,Prescription
NDA017522,VALEANT BERMUDA,RETIN-A,001,Yes,,Yes,CREAM,TOPICAL,Prescription
ANDA077052,SUN PHARM INDUSTRIES,CITALOPRAM HYDROBROMIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA077052,SUN PHARM INDUSTRIES,CITALOPRAM HYDROBROMIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077052,SUN PHARM INDUSTRIES,CITALOPRAM HYDROBROMIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA077059,HOSPIRA,CARBOPLATIN,001,No,,Yes,INJECTABLE,INTRAVENOUS,Prescription
NDA017525,TEVA BRANDED PHARM,LOXITANE,006,Yes,,No,TABLET,ORAL,Discontinued
NDA017525,TEVA BRANDED PHARM,LOXITANE,004,Yes,,No,CAPSULE,ORAL,Discontinued
NDA017525,TEVA BRANDED PHARM,LOXITANE,002,Yes,,No,CAPSULE,ORAL,Discontinued
NDA017525,TEVA BRANDED PHARM,LOXITANE,007,Yes,,No,TABLET,ORAL,Discontinued
NDA017525,TEVA BRANDED PHARM,LOXITANE,003,Yes,,No,CAPSULE,ORAL,Discontinued
NDA017525,TEVA BRANDED PHARM,LOXITANE,001,Yes,,No,CAPSULE,ORAL,Discontinued
NDA017525,TEVA BRANDED PHARM,LOXITANE,008,Yes,,No,TABLET,ORAL,Discontinued
ANDA077066,SANDOZ,NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS),001,No,,No,CAPSULE,ORAL,Prescription
ANDA077074,BEDFORD LABS,LORAZEPAM PRESERVATIVE FREE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA077074,BEDFORD LABS,LORAZEPAM PRESERVATIVE FREE,002,No,,No,INJECTABLE,INJECTION,Discontinued
NDA017530,PH HEALTH,TIGAN,001,Yes,,Yes,INJECTABLE,INJECTION,Prescription
ANDA077085,SANDOZ,LEFLUNOMIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077085,SANDOZ,LEFLUNOMIDE,002,No,,No,TABLET,ORAL,Discontinued
NDA017531,KING PHARMS LLC,TIGAN,006,Yes,,No,CAPSULE,ORAL,Discontinued
NDA017532,SANOFI AVENTIS US,DIABETA,002,Yes,,No,TABLET,ORAL,Prescription
NDA017532,SANOFI AVENTIS US,DIABETA,003,Yes,,Yes,TABLET,ORAL,Prescription
NDA017532,SANOFI AVENTIS US,DIABETA,001,Yes,,No,TABLET,ORAL,Prescription
ANDA077111,FOUGERA PHARMS,BETAMETHASONE DIPROPIONATE,001,No,,No,"LOTION, AUGMENTED",TOPICAL,Prescription
ANDA077129,WATSON LABS,RIVASTIGMINE TARTRATE,003,No,,No,CAPSULE,ORAL,Prescription
ANDA077129,WATSON LABS,RIVASTIGMINE TARTRATE,001,No,,No,CAPSULE,ORAL,Prescription
ANDA077129,WATSON LABS,RIVASTIGMINE TARTRATE,004,No,,No,CAPSULE,ORAL,Prescription
ANDA077129,WATSON LABS,RIVASTIGMINE TARTRATE,002,No,,No,CAPSULE,ORAL,Prescription
ANDA077142,SPECGX LLC,METHADONE HYDROCHLORIDE,001,No,,No,"TABLET, FOR SUSPENSION",ORAL,Prescription
ANDA077166,PHARMOBEDIENT,VENLAFAXINE HYDROCHLORIDE,005,No,,No,TABLET,ORAL,Discontinued
ANDA077166,PHARMOBEDIENT,VENLAFAXINE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA077166,PHARMOBEDIENT,VENLAFAXINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077166,PHARMOBEDIENT,VENLAFAXINE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Discontinued
ANDA077166,PHARMOBEDIENT,VENLAFAXINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA077173,SUN PHARM INDS LTD,ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA077179,TEVA PHARMS,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,006,No,,No,CAPSULE,ORAL,Discontinued
ANDA077179,TEVA PHARMS,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,004,No,,No,CAPSULE,ORAL,Discontinued
ANDA077179,TEVA PHARMS,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA077179,TEVA PHARMS,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,005,No,,No,CAPSULE,ORAL,Discontinued
ANDA077179,TEVA PHARMS,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,003,No,,No,CAPSULE,ORAL,Discontinued
ANDA077179,TEVA PHARMS,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA077186,HIKMA,GRANISETRON HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA077205,CHARTWELL MOLECULAR,IRBESARTAN,001,No,,No,TABLET,ORAL,Prescription
ANDA077205,CHARTWELL MOLECULAR,IRBESARTAN,002,No,,No,TABLET,ORAL,Prescription
ANDA077205,CHARTWELL MOLECULAR,IRBESARTAN,003,No,,No,TABLET,ORAL,Prescription
ANDA077212,SUN PHARM INDS,DESMOPRESSIN ACETATE,001,No,,No,SOLUTION,NASAL,Discontinued
ANDA077241,LANNETT CO INC,BACLOFEN,002,No,,No,TABLET,ORAL,Prescription
ANDA077241,LANNETT CO INC,BACLOFEN,003,No,,No,TABLET,ORAL,Prescription
ANDA077241,LANNETT CO INC,BACLOFEN,001,No,,No,TABLET,ORAL,Prescription
ANDA077253,GLENMARK PHARMS LTD,FLUCONAZOLE,004,No,,No,TABLET,ORAL,Prescription
ANDA077253,GLENMARK PHARMS LTD,FLUCONAZOLE,002,No,,No,TABLET,ORAL,Prescription
ANDA077253,GLENMARK PHARMS LTD,FLUCONAZOLE,003,No,,No,TABLET,ORAL,Prescription
ANDA077253,GLENMARK PHARMS LTD,FLUCONAZOLE,001,No,,No,TABLET,ORAL,Prescription
ANDA077274,EPIC PHARMA LLC,GLIMEPIRIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA077274,EPIC PHARMA LLC,GLIMEPIRIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA077274,EPIC PHARMA LLC,GLIMEPIRIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077284,PH HEALTH,BUPROPION HYDROCHLORIDE,001,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ANDA077284,PH HEALTH,BUPROPION HYDROCHLORIDE,002,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
NDA007012,BAYER HLTHCARE,VI-TWEL,002,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA077295,CHARTWELL MOLECULAR,GLIMEPIRIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA077295,CHARTWELL MOLECULAR,GLIMEPIRIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA077295,CHARTWELL MOLECULAR,GLIMEPIRIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA077297,DR REDDYS,GRANISETRON HYDROCHLORIDE,001,No,,Yes,INJECTABLE,INJECTION,Prescription
ANDA077314,DR REDDYS LABS LTD,NIZATIDINE,002,No,,No,CAPSULE,ORAL,Prescription
ANDA077314,DR REDDYS LABS LTD,NIZATIDINE,001,No,,No,CAPSULE,ORAL,Prescription
ANDA077335,CIPLA,FINASTERIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077342,TEVA,SILDENAFIL CITRATE,003,No,,No,TABLET,ORAL,Prescription
ANDA077342,TEVA,SILDENAFIL CITRATE,001,No,,No,TABLET,ORAL,Prescription
ANDA077342,TEVA,SILDENAFIL CITRATE,002,No,,No,TABLET,ORAL,Prescription
ANDA077344,HERITAGE PHARMA,DONEPEZIL HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA077344,HERITAGE PHARMA,DONEPEZIL HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA077351,PERRIGO R AND D,FAMOTIDINE,001,No,,No,TABLET,ORAL,Over-the-counter
ANDA077356,MEITHEAL,MITOXANTRONE HYDROCHLORIDE,002,No,,No,INJECTABLE,INJECTION,Prescription
ANDA077356,MEITHEAL,MITOXANTRONE HYDROCHLORIDE,003,No,,No,INJECTABLE,INJECTION,Prescription
ANDA077356,MEITHEAL,MITOXANTRONE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA077367,DR REDDYS LABS LTD,FAMOTIDINE,002,No,,No,TABLET,ORAL,Over-the-counter
ANDA077367,DR REDDYS LABS LTD,FAMOTIDINE,001,No,,No,TABLET,ORAL,Over-the-counter
ANDA077369,TEVA,IRBESARTAN AND HYDROCHLOROTHIAZIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA077369,TEVA,IRBESARTAN AND HYDROCHLOROTHIAZIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA077369,TEVA,IRBESARTAN AND HYDROCHLOROTHIAZIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA077375,RISING,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA077375,RISING,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,004,No,,No,CAPSULE,ORAL,Discontinued
ANDA077375,RISING,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA077375,RISING,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,003,No,,No,CAPSULE,ORAL,Discontinued
ANDA077383,CIPLA LTD,CARBOPLATIN,003,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA077383,CIPLA LTD,CARBOPLATIN,001,No,,No,INJECTABLE,INJECTION,Discontinued
