application_number,sponsor_name,brand_name,product_number,reference_drug,active_ingredients,referenced_standard,dosage_form,route,marketing_status
ANDA089251,SMITH AND NEPHEW,PROCHLORPERAZINE EDISYLATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA089253,SUPERPHARM,ACETAMINOPHEN AND CODEINE PHOSPHATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA089256,QUAD PHARMS,PROCAINAMIDE HCL,001,No,,,Injectable,Injection,Discontinued
ANDA089259,TP ANDA HOLDINGS,HYDRALAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA089291,USL PHARMA,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,001,No,,No,TABLET,ORAL,Discontinued
NDA018656,TELIGENT,DOPAMINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA089325,QUAD PHARMS,TESTOSTERONE ENANTHATE,001,No,,,Injectable,Injection,Discontinued
ANDA089381,SUN PHARM INDUSTRIES,HYDROXYZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Prescription
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,005,No,,No,TABLET,ORAL,Prescription
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,006,No,,No,TABLET,ORAL,Prescription
ANDA089405,MALLINCKRODT,TENCON,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA089407,FRESENIUS KABI USA,POLOCAINE,001,No,,Yes,INJECTABLE,INJECTION,Prescription
ANDA089413,PHARMADERM,HYDROCORTISONE,001,No,,No,CREAM,TOPICAL,Discontinued
ANDA089428,ABRAXIS PHARM,FLUOROURACIL,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA089449,PENNEX,ALUMINUM HYDROXIDE AND MAGNESIUM TRISILICATE,001,No,,No,"TABLET, CHEWABLE",ORAL,Discontinued
ANDA089459,HALSEY,GLUTETHIMIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA089540,SANOFI AVENTIS US,SLO-BID,001,No,,No,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
ANDA089554,HALSEY,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,001,No,,No,TABLET,ORAL,Discontinued
NDA018679,DR REDDYS LABS SA,TRIMETHOPRIM,001,Yes,,Yes,TABLET,ORAL,Prescription
ANDA089628,PHARMACHEMIE USA,LEUCOVORIN CALCIUM,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA089651,HOSPIRA,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA089696,IVAX PHARMS,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,001,No,,No,TABLET,ORAL,Discontinued
ANDA089765,PAR PHARM,THIORIDAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA089771,VALEANT PHARMS,MINITRAN,001,No,,No,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued
ANDA089772,VALEANT PHARMS NORTH,MINITRAN,001,No,,No,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued
ANDA089774,VALEANT PHARMS,MINITRAN,001,No,,No,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued
ANDA089819,DEY,ISOETHARINE HYDROCHLORIDE S/F,001,No,,No,SOLUTION,INHALATION,Discontinued
ANDA089831,VINTAGE PHARMS,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,001,No,,No,TABLET,ORAL,Discontinued
ANDA089834,GLAXOSMITHKLINE,WELLCOVORIN,001,No,,No,INJECTABLE,INJECTION,Discontinued
